Nome;Animal;Indicações;Preço
Ração SeniorPro;gatos;gatos castrados;89.1
Ração CatPro;gatos;gatos adultos;61.03
Ração DogPlus;roedores;roedores adultos;71.9
Ração PremiumDog;gatos;gatos idosos;148.17
Ração MaxiDog;gatos;gatos adultos;60.83
Ração GatoLife;pássaros;pássaros exóticos;22.47
Ração GatoLife;gatos;gatos adultos;95.04
Ração GatoLife;gatos;gatos adultos;104.35
Ração PuppyCare;pássaros;pássaros canoros;53.21
Ração PuppyCare;gatos;gatos adultos;80.52
Ração NutriPet;roedores;roedores jovens;82.48
Ração SeniorPro;gatos;gatos castrados;75.45
Ração DogPlus;roedores;roedores adultos;42.61
Ração VitalCan;roedores;roedores jovens;22.36
Ração MaxiDog;roedores;roedores adultos;89.29
Ração PremiumDog;gatos;gatos castrados;55.0
Ração SuperCat;cães;cães grandes filhotes;105.14
Ração ActivePet;gatos;gatos castrados;129.52
Ração SuperCat;roedores;roedores adultos;109.2
Ração CatPro;cães;cães grandes +10 anos;73.78
Ração SuperCat;pássaros;pássaros canoros;115.31
Ração PowerDog;gatos;gatos castrados;82.8
Ração VitalCan;cães;cães pequenos filhotes;138.03
Ração PuppyCare;pássaros;pássaros exóticos;53.81
Ração GatoLife;gatos;gatos idosos;39.47
Ração PremiumDog;cães;cães médios adultos;60.14
Ração GatoLife;roedores;roedores adultos;133.79
Ração PuppyCare;gatos;gatos adultos;57.11
Ração PuppyCare;gatos;gatos idosos;93.48
Ração DogPlus;roedores;roedores adultos;88.99
Ração PuppyCare;cães;cães médios adultos;69.66
Ração GatoLife;roedores;roedores adultos;138.46
Ração DogPlus;cães;cães médios adultos;99.87
Ração ActivePet;roedores;roedores adultos;101.75
Ração DogPlus;roedores;roedores jovens;69.14
Ração PremiumDog;roedores;roedores adultos;29.55
Ração NutriPet;gatos;gatos idosos;125.22
Ração PowerDog;cães;cães grandes +10 anos;33.63
Ração DogPlus;roedores;roedores adultos;32.43
Ração DogPlus;roedores;roedores adultos;61.5
Ração PuppyCare;pássaros;pássaros canoros;132.67
Ração CatPro;gatos;gatos idosos;104.95
Ração CatPro;gatos;gatos castrados;107.78
Ração MaxiDog;gatos;gatos adultos;146.33
Ração CatPro;gatos;gatos adultos;52.83
Ração GatoLife;roedores;roedores jovens;119.16
Ração NutriPet;pássaros;pássaros exóticos;145.95
Ração PuppyCare;pássaros;pássaros exóticos;23.93
Ração MaxiDog;cães;cães médios adultos;101.88
Ração SuperCat;roedores;roedores jovens;52.45
